id,title,type,release_year,age_certification,runtime,genre,production_countries,imdb_score,imdb_votes,tmdb_popularity,tmdb_score,Revenue(In Millions)
tm894858,The End,MOVIE,2019,Unrated,97,'crime',['KW'],6.510860655737705,23439.382473841557,0.675,6.510860655737705,99
tm971431,Ari Eldjárn: Pardon My Icelandic,MOVIE,2020,Unrated,54,'comedy',['IS'],6.510860655737705,23439.382473841557,2.271,6.510860655737705,57
tm465984,Boi,MOVIE,2019,Unrated,111,'thriller',"['ES', 'CN']",6.510860655737705,23439.382473841557,3.617,6.510860655737705,255
tm465984,Boi,MOVIE,2019,Unrated,111,'european',"['ES', 'CN']",6.510860655737705,23439.382473841557,3.617,6.510860655737705,255
tm863280,Showtime 1958,MOVIE,2020,Unrated,110,'drama',['MY'],5.6,25.0,1.275,5.6,171
ts225708,Six Windows in the Desert,SHOW,2020,TV-14,21,'drama',['SA'],4.3,3104.0,1.176,4.3,238
ts225708,Six Windows in the Desert,SHOW,2020,TV-14,21,'scifi',['SA'],4.3,3104.0,1.176,4.3,238
ts225708,Six Windows in the Desert,SHOW,2020,TV-14,21,'comedy',['SA'],4.3,3104.0,1.176,4.3,238
ts225708,Six Windows in the Desert,SHOW,2020,TV-14,21,'history',['SA'],4.3,3104.0,1.176,4.3,238
tm866782,One-Way to Tomorrow,MOVIE,2020,Unrated,90,'comedy',['TR'],5.6,4819.0,3.827,5.6,1
tm866782,One-Way to Tomorrow,MOVIE,2020,Unrated,90,'romance',['TR'],5.6,4819.0,3.827,5.6,1
tm866782,One-Way to Tomorrow,MOVIE,2020,Unrated,90,'drama',['TR'],5.6,4819.0,3.827,5.6,1
tm810423,"Colin Quinn: Red State, Blue State",MOVIE,2019,Unrated,65,'comedy',['US'],7.6,727.0,2.538,7.6,171
tm918373,Malibu Rescue: The Next Wave,MOVIE,2020,Unrated,70,'comedy',['US'],4.8,841.0,8.488,4.8,43
tm918373,Malibu Rescue: The Next Wave,MOVIE,2020,Unrated,70,'family',['US'],4.8,841.0,8.488,4.8,43
tm918373,Malibu Rescue: The Next Wave,MOVIE,2020,Unrated,70,'action',['US'],4.8,841.0,8.488,4.8,43
tm457410,Money Trap,MOVIE,2019,Unrated,121,'action',['TR'],6.0,14565.0,9.695,6.0,180
tm457410,Money Trap,MOVIE,2019,Unrated,121,'comedy',['TR'],6.0,14565.0,9.695,6.0,180
tm457410,Money Trap,MOVIE,2019,Unrated,121,'crime',['TR'],6.0,14565.0,9.695,6.0,180
tm457410,Money Trap,MOVIE,2019,Unrated,121,'drama',['TR'],6.0,14565.0,9.695,6.0,180
tm940566,Kaali Khuhi,MOVIE,2020,Unrated,90,'thriller',['IN'],3.5,1230.0,1.95,3.5,56
tm940566,Kaali Khuhi,MOVIE,2020,Unrated,90,'horror',['IN'],3.5,1230.0,1.95,3.5,56
tm940566,Kaali Khuhi,MOVIE,2020,Unrated,90,'drama',['IN'],3.5,1230.0,1.95,3.5,56
tm825210,Nothing to Lose 2,MOVIE,2019,PG-13,96,'drama',['BR'],3.0,655.0,22.637925395684302,3.0,100
tm460259,Blood Will Tell,MOVIE,2019,Unrated,113,'thriller',"['CL', 'AR', 'CA']",6.1,831.0,2.268,6.1,85
tm460259,Blood Will Tell,MOVIE,2019,Unrated,113,'drama',"['CL', 'AR', 'CA']",6.1,831.0,2.268,6.1,85
tm896246,George Lopez: We'll Do It for Half,MOVIE,2020,Unrated,51,'comedy',['US'],5.7,452.0,2.137,5.7,26
ts217553,Sexy Central,SHOW,2019,TV-MA,27,'comedy',['HK'],6.510860655737705,23439.382473841557,1.722,6.510860655737705,196
tm483190,Time Out,MOVIE,2019,Unrated,93,'comedy',[],5.9,47.0,22.637925395684302,5.9,294
tm483190,Time Out,MOVIE,2019,Unrated,93,'drama',[],5.9,47.0,22.637925395684302,5.9,294
tm483190,Time Out,MOVIE,2019,Unrated,93,'romance',[],5.9,47.0,22.637925395684302,5.9,294
tm925785,Dark Forces,MOVIE,2020,Unrated,81,'horror',['MX'],2.7,597.0,4.03,2.7,158
tm925785,Dark Forces,MOVIE,2020,Unrated,81,'thriller',['MX'],2.7,597.0,4.03,2.7,158
tm925785,Dark Forces,MOVIE,2020,Unrated,81,'action',['MX'],2.7,597.0,4.03,2.7,158
tm454464,Pegasus,MOVIE,2019,Unrated,98,'comedy',['CN'],6.3,1813.0,5.369,6.3,151
tm454464,Pegasus,MOVIE,2019,Unrated,98,'action',['CN'],6.3,1813.0,5.369,6.3,151
tm454464,Pegasus,MOVIE,2019,Unrated,98,'fantasy',['CN'],6.3,1813.0,5.369,6.3,151
tm454464,Pegasus,MOVIE,2019,Unrated,98,'sport',['CN'],6.3,1813.0,5.369,6.3,151
tm484173,Bhangra Paa Le,MOVIE,2020,Unrated,131,'music',['IN'],6.2,361.0,3.101,6.2,78
tm484173,Bhangra Paa Le,MOVIE,2020,Unrated,131,'comedy',['IN'],6.2,361.0,3.101,6.2,78
tm484173,Bhangra Paa Le,MOVIE,2020,Unrated,131,'drama',['IN'],6.2,361.0,3.101,6.2,78
tm919920,Milestone,MOVIE,2020,Unrated,98,'drama',['IN'],6.6,634.0,1.579,6.6,119
ts269283,Bhaag Beanie Bhaag,SHOW,2020,Unrated,29,'drama',['IN'],6.510860655737705,23439.382473841557,1.187,6.510860655737705,279
tm405637,122,MOVIE,2019,R,95,'horror',['EG'],6.0,5563.0,3.717,6.0,201
tm405637,122,MOVIE,2019,R,95,'thriller',['EG'],6.0,5563.0,3.717,6.0,201
tm478962,Saavat,MOVIE,2019,Unrated,117,'thriller',['IN'],6.5,176.0,0.974,6.5,40
tm478962,Saavat,MOVIE,2019,Unrated,117,'crime',['IN'],6.5,176.0,0.974,6.5,40
tm478962,Saavat,MOVIE,2019,Unrated,117,'drama',['IN'],6.5,176.0,0.974,6.5,40
tm813634,Dorasani,MOVIE,2019,Unrated,130,'drama',['IN'],5.8,199.0,2.545,5.8,260
tm813634,Dorasani,MOVIE,2019,Unrated,130,'romance',['IN'],5.8,199.0,2.545,5.8,260
tm877746,Krishna and His Leela,MOVIE,2020,Unrated,125,'comedy',[],5.6,1579.0,22.637925395684302,5.6,158
tm877746,Krishna and His Leela,MOVIE,2020,Unrated,125,'romance',[],5.6,1579.0,22.637925395684302,5.6,158
tm938333,A Go! Go! Cory Carson Halloween,MOVIE,2020,G,21,'animation',[],6.4,51.0,2.048,6.4,78
tm938333,A Go! Go! Cory Carson Halloween,MOVIE,2020,G,21,'family',[],6.4,51.0,2.048,6.4,78
tm938333,A Go! Go! Cory Carson Halloween,MOVIE,2020,G,21,'horror',[],6.4,51.0,2.048,6.4,78
ts89182,Green Door,SHOW,2019,Unrated,49,'drama',['TW'],6.4,131.0,2.114,6.4,37
ts89182,Green Door,SHOW,2019,Unrated,49,'comedy',['TW'],6.4,131.0,2.114,6.4,37
ts89182,Green Door,SHOW,2019,Unrated,49,'horror',['TW'],6.4,131.0,2.114,6.4,37
ts89182,Green Door,SHOW,2019,Unrated,49,'thriller',['TW'],6.4,131.0,2.114,6.4,37
tm828318,Axone,MOVIE,2019,Unrated,96,'comedy',['IN'],6.9,2213.0,1.895,6.9,40
tm828318,Axone,MOVIE,2019,Unrated,96,'drama',['IN'],6.9,2213.0,1.895,6.9,40
tm455715,Dilan 1991,MOVIE,2019,Unrated,118,'drama',['ID'],6.5,1071.0,3.22,6.5,147
tm455715,Dilan 1991,MOVIE,2019,Unrated,118,'romance',['ID'],6.5,1071.0,3.22,6.5,147
ts243189,Booba: Food Puzzle,SHOW,2020,TV-Y,3,'comedy',[],8.3,30.0,22.637925395684302,8.3,190
ts243189,Booba: Food Puzzle,SHOW,2020,TV-Y,3,'family',[],8.3,30.0,22.637925395684302,8.3,190
ts243189,Booba: Food Puzzle,SHOW,2020,TV-Y,3,'animation',[],8.3,30.0,22.637925395684302,8.3,190
tm977184,A Go! Go! Cory Carson Christmas,MOVIE,2020,Unrated,21,'animation',['US'],6.1,50.0,14.016,6.1,261
tm977184,A Go! Go! Cory Carson Christmas,MOVIE,2020,Unrated,21,'family',['US'],6.1,50.0,14.016,6.1,261
tm474695,Dying to Tell,MOVIE,2019,Unrated,87,'documentation',['ES'],6.8,351.0,1.881,6.8,166
tm474695,Dying to Tell,MOVIE,2019,Unrated,87,'european',['ES'],6.8,351.0,1.881,6.8,166
tm845616,Tootsies & The Fake,MOVIE,2019,Unrated,108,'comedy',['TH'],5.9,485.0,3.134,5.9,118
tm826677,Tee Shot: Ariya Jutanugarn,MOVIE,2019,Unrated,103,'drama',['TH'],6.510860655737705,23439.382473841557,2.757,6.510860655737705,13
ts234505,Fary: Hexagone,SHOW,2020,TV-MA,51,'comedy',['FR'],6.2,129.0,1.41,6.2,150
ts224261,Nailed It! Germany,SHOW,2020,TV-14,0,'reality',['DE'],5.7,102.0,2.157,5.7,161
tm1000551,Namaste Wahala,MOVIE,2020,Unrated,106,'comedy',['NG'],5.1,1557.0,2.696,5.1,68
tm1000551,Namaste Wahala,MOVIE,2020,Unrated,106,'drama',['NG'],5.1,1557.0,2.696,5.1,68
tm1000551,Namaste Wahala,MOVIE,2020,Unrated,106,'romance',['NG'],5.1,1557.0,2.696,5.1,68
tm943808,Guillermo Vilas: Settling the Score,MOVIE,2020,Unrated,94,'documentation',['AR'],7.1,655.0,1.754,7.1,248
tm943808,Guillermo Vilas: Settling the Score,MOVIE,2020,Unrated,94,'sport',['AR'],7.1,655.0,1.754,7.1,248
tm975616,The Beginning of Life 2: Outside,MOVIE,2020,G,92,'documentation',['BR'],8.0,20.0,1.29,8.0,244
tm373471,90 ML,MOVIE,2019,Unrated,125,'drama',['IN'],3.3,577.0,1.81,3.3,186
tm373471,90 ML,MOVIE,2019,Unrated,125,'romance',['IN'],3.3,577.0,1.81,3.3,186
tm373471,90 ML,MOVIE,2019,Unrated,125,'comedy',['IN'],3.3,577.0,1.81,3.3,186
tm936519,Soulmate,MOVIE,2020,Unrated,106,'drama',['EG'],6.510860655737705,23439.382473841557,1.4,6.510860655737705,259
tm946795,Citation,MOVIE,2020,Unrated,151,'thriller',['NG'],6.1,970.0,4.944,6.1,247
tm946795,Citation,MOVIE,2020,Unrated,151,'drama',['NG'],6.1,970.0,4.944,6.1,247
tm813936,Adam Devine: Best Time of Our Lives,MOVIE,2019,PG-13,58,'comedy',['US'],5.9,959.0,2.486,5.9,28
ts88166,Nailed It! Mexico,SHOW,2019,TV-PG,33,'reality',['MX'],6.2,308.0,4.224,6.2,142
tm918258,Dogwashers,MOVIE,2020,Unrated,107,'crime',"['AR', 'CO']",5.8,601.0,29.101,5.8,154
