id,title,type,release_year,age_certification,runtime,genre.2.1,production_countries,imdb_score,imdb_votes,tmdb_popularity,tmdb_score,Revenue(In Millions)
tm187791,In the Line of Fire,MOVIE,1993,R,128,crime,['US'],7.2,102916,19.8,7.2,208
tm187791,In the Line of Fire,MOVIE,1993,R,128,action,['US'],7.2,102916,19.8,7.2,208
tm113576,Little Women,MOVIE,1994,PG,115,drama,['US'],7.3,58178,13.683,7.3,123
tm113576,Little Women,MOVIE,1994,PG,115,romance,['US'],7.3,58178,13.683,7.3,123
tm113576,Little Women,MOVIE,1994,PG,115,family,['US'],7.3,58178,13.683,7.3,123
tm65686,U.S. Marshals,MOVIE,1998,PG-13,131,thriller,['US'],6.5,105286,24.205,6.5,146
tm65686,U.S. Marshals,MOVIE,1998,PG-13,131,crime,['US'],6.5,105286,24.205,6.5,146
tm65686,U.S. Marshals,MOVIE,1998,PG-13,131,action,['US'],6.5,105286,24.205,6.5,146
ts8570,Barney & Friends,SHOW,1992,TV-G,28,comedy,['US'],3.8,9624,14.641,3.8,291
ts8570,Barney & Friends,SHOW,1992,TV-G,28,family,['US'],3.8,9624,14.641,3.8,291
tm191387,Anaconda,MOVIE,1997,PG-13,89,horror,"['PE', 'US', 'BR']",4.8,104213,34.405,4.8,299
tm191387,Anaconda,MOVIE,1997,PG-13,89,thriller,"['PE', 'US', 'BR']",4.8,104213,34.405,4.8,299
tm191387,Anaconda,MOVIE,1997,PG-13,89,action,"['PE', 'US', 'BR']",4.8,104213,34.405,4.8,299
ts27693,Kenan & Kel,SHOW,1996,TV-Y7,25,family,['US'],7.8,15620,33.544,7.8,49
ts27693,Kenan & Kel,SHOW,1996,TV-Y7,25,comedy,['US'],7.8,15620,33.544,7.8,49
tm19494,The Replacements,MOVIE,2000,PG-13,118,comedy,['US'],6.6,64771,30.982,6.6,37
tm19494,The Replacements,MOVIE,2000,PG-13,118,sport,['US'],6.6,64771,30.982,6.6,37
tm191772,Seven Years in Tibet,MOVIE,1997,PG-13,136,action,['US'],7.1,142903,13.766,7.1,23
tm191772,Seven Years in Tibet,MOVIE,1997,PG-13,136,drama,['US'],7.1,142903,13.766,7.1,23
tm191772,Seven Years in Tibet,MOVIE,1997,PG-13,136,history,['US'],7.1,142903,13.766,7.1,23
tm191772,Seven Years in Tibet,MOVIE,1997,PG-13,136,war,['US'],7.1,142903,13.766,7.1,23
tm12499,The Net,MOVIE,1995,PG-13,114,thriller,['US'],5.9,66667,15.935,5.9,20
tm12499,The Net,MOVIE,1995,PG-13,114,action,['US'],5.9,66667,15.935,5.9,20
tm12499,The Net,MOVIE,1995,PG-13,114,crime,['US'],5.9,66667,15.935,5.9,20
tm12499,The Net,MOVIE,1995,PG-13,114,drama,['US'],5.9,66667,15.935,5.9,20
tm186589,Cliffhanger,MOVIE,1993,R,112,action,"['IT', 'US', 'FR']",6.5,128972,27.78,6.5,96
tm186589,Cliffhanger,MOVIE,1993,R,112,thriller,"['IT', 'US', 'FR']",6.5,128972,27.78,6.5,96
