id,title,type,release_year,age_certification,runtime,genre.2.1,production_countries,imdb_score,imdb_votes,tmdb_popularity,tmdb_score,Revenue(In Millions)
tm159912,Agneepath,MOVIE,1990,Unrated,174,crime,['IN'],7.6,8947,4.062,7.6,126
tm133914,Parrot Sketch Not Included: Twenty Years of Monty Python,MOVIE,1989,Unrated,72,comedy,['GB'],8.1,1522,1.801,8.1,98
tm38736,Too Young The Hero,MOVIE,1988,Unrated,100,drama,['US'],6.7,502,1.485,6.7,300
tm38736,Too Young The Hero,MOVIE,1988,Unrated,100,war,['US'],6.7,502,1.485,6.7,300
tm51083,A Stoning in Fulham County,MOVIE,1988,Unrated,120,thriller,['US'],5.9,387,1.01,5.9,230
tm51083,A Stoning in Fulham County,MOVIE,1988,Unrated,120,crime,['US'],5.9,387,1.01,5.9,230
tm51083,A Stoning in Fulham County,MOVIE,1988,Unrated,120,drama,['US'],5.9,387,1.01,5.9,230
tm137013,The Ryan White Story,MOVIE,1989,Unrated,102,drama,['US'],7.2,863,1.981,7.2,219
tm157603,Dil,MOVIE,1990,Unrated,172,drama,['IN'],6.6,5316,3.992,6.6,225
tm157603,Dil,MOVIE,1990,Unrated,172,comedy,['IN'],6.6,5316,3.992,6.6,225
tm157603,Dil,MOVIE,1990,Unrated,172,romance,['IN'],6.6,5316,3.992,6.6,225
tm258072,Adam: His Song Continues,MOVIE,1986,Unrated,100,crime,['US'],7,212,1.603,7,17
tm258072,Adam: His Song Continues,MOVIE,1986,Unrated,100,drama,['US'],7,212,1.603,7,17
tm114356,The George McKenna Story,MOVIE,1988,Unrated,100,drama,['US'],6,921,2.296,6,124
tm157853,In Defense of a Married Man,MOVIE,1990,Unrated,94,drama,['US'],5.6,207,2.444,5.6,150
tm157853,In Defense of a Married Man,MOVIE,1990,Unrated,94,crime,['US'],5.6,207,2.444,5.6,150
tm132164,Bill Hicks: Sane Man,MOVIE,1989,R,80,comedy,['US'],6.510860656,23439.38247,3.377,6.510860656,44
tm446654,Mujrim,MOVIE,1989,Unrated,162,drama,['IN'],5.4,197,1.418,5.4,209
tm446654,Mujrim,MOVIE,1989,Unrated,162,action,['IN'],5.4,197,1.418,5.4,209
tm446654,Mujrim,MOVIE,1989,Unrated,162,crime,['IN'],5.4,197,1.418,5.4,209
tm348735,Aakhri Adaalat,MOVIE,1988,Unrated,148,action,['IN'],5.1,92,1.374,5.1,203
tm348735,Aakhri Adaalat,MOVIE,1988,Unrated,148,crime,['IN'],5.1,92,1.374,5.1,203
tm348735,Aakhri Adaalat,MOVIE,1988,Unrated,148,thriller,['IN'],5.1,92,1.374,5.1,203
tm151332,"Alexandria, Again and Forever",MOVIE,1989,Unrated,105,drama,"['FR', 'EG']",6.5,658,0.817,6.5,60
tm342996,Duniya,MOVIE,1984,Unrated,170,action,['IN'],6.3,245,1.394,6.3,274
tm342996,Duniya,MOVIE,1984,Unrated,170,drama,['IN'],6.3,245,1.394,6.3,274
tm24110,Strange Voices,MOVIE,1987,Unrated,100,drama,['US'],6.3,360,2.76,6.3,144
tm371359,Jaal,MOVIE,1986,Unrated,159,action,['IN'],5.2,125,3.366,5.2,159
